date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
27-07-17,269699.4211,610,18222600,0.519631,963425,29900,1.43134504
28-07-17,238160.5959,610,19677600,0.471614,896714,28250,1.78380224
29-07-17,100425.8854,559,17925800,0.459615,433441,27550,1.22202351
30-07-17,277938.1207,512,17491100,0.454948,559830,29500,1.28535119
31-07-17,227219.3423,607,17361400,0.448184,573293,30050,1.45983172
01-08-17,342865.1537,586,17110300,0.485034,1184690,26850,1.68019907
02-08-17,343666.2602,632,18500900,0.512141,1034590,29400,1.59816827
03-08-17,442948.962,683,19594500,0.517546,781880,28450,2.05717278
04-08-17,280243.8405,675,19607800,0.521429,745820,30950,2.99518703
05-08-17,413579.0809,624,20001800,0.546819,960863,27600,1.45200638
06-08-17,385824.9584,730,20999100,0.530973,968170,27750,2.62349646
07-08-17,358305.4325,751,20434800,0.538136,1288610,28800,1.51921471
08-08-17,370553.8641,826,20566800,0.543291,1037030,27350,1.09867552
09-08-17,188829.8107,634,20868300,0.524493,567916,27050,1.1726205
10-08-17,291966.498,695,20112200,0.523189,1439230,29600,2.97257367
11-08-17,446052.0395,758,20193100,0.517614,1381440,30800,2.23025387
12-08-17,661185.9549,759,19865200,0.510936,1339160,27600,1.85049082
13-08-17,445449.4884,707,19491300,0.443242,1062400,28300,2.22059621
14-08-17,260523.6706,740,17071500,0.393399,909134,26150,1.7144466
15-08-17,332959.0607,672,14941200,0.453169,1287640,30000,1.31178881
16-08-17,204427.8229,587,16834300,0.435869,792106,29250,1.12413973
17-08-17,197978.7529,631,16927500,0.429101,794779,28250,1.12148183
18-08-17,401511.8498,792,16548800,0.476882,2111910,29300,2.55453378
19-08-17,410264.0901,779,18437500,0.474116,2318060,30000,1.80482771
20-08-17,501960.4941,668,18315200,0.503577,1700280,29300,1.77701378
21-08-17,458687.5747,788,19437200,0.523164,1666800,28800,1.74761824
22-08-17,393965.1331,640,20338300,0.510094,1555770,27050,1.49120119
23-08-17,791457.8414,857,19643600,0.656939,3485450,32050,2.57304564
24-08-17,4714366.709,2222,25408400,1.11,20722600,32750,5.43493865
25-08-17,2211044.954,1828,43443700,0.942438,11181200,28050,5.90750037
26-08-17,1319563.447,1323,37009400,0.92198,5871970,25850,3.25077371
27-08-17,698342.5135,989,36048000,0.853437,2935040,27650,2.73538161
28-08-17,541281.5166,972,33228400,0.810263,2764890,29500,2.20950403
29-08-17,533092.2768,885,31593400,0.724871,1997400,26500,1.70593247
30-08-17,793919.9458,1003,28049700,0.801626,2659050,29750,2.2669917
31-08-17,988357.0875,1080,31408800,0.97432,4160890,30100,2.78805093
01-09-17,836726.6374,1002,38290800,0.987379,2807710,27600,2.78069544
02-09-17,446280.9036,955,38788000,0.865105,1434840,30150,1.68421551
03-09-17,558018.4591,763,33984100,0.876343,953190,30000,1.54688374
04-09-17,1008385.184,937,34316500,0.734686,1317010,24800,1.80011905
05-09-17,1550385.601,1014,28972700,0.866313,1883920,32200,1.96544835
06-09-17,1834785.892,1063,34346800,0.991602,2096340,30400,2.43596075
07-09-17,1799455.789,988,39083400,0.955678,1499320,27100,1.97914995
08-09-17,1991021.895,1017,37446900,0.81537,1367100,29750,2.21242077
09-09-17,6457885.334,820,32627700,0.864793,936709,29800,2.16466185
10-09-17,2090342.088,686,33791600,0.839306,605134,28550,1.44107118
11-09-17,22199465.95,956,32935800,0.798137,958209,28850,2.04482292
12-09-17,3845449.32,791,32029600,0.790181,1418450,27000,1.32972354
13-09-17,4421183.718,969,30894600,0.704781,1015460,28100,1.61204363
14-09-17,3470267.1,903,27663200,0.479536,922744,25700,1.72795945
15-09-17,9395423.271,912,19019400,0.707298,1060880,29950,1.84497066
16-09-17,6819358.109,723,27150000,0.629889,876655,30000,1.07655496
17-09-17,731568.357,802,25038600,0.688848,1481610,29800,1.42873753
18-09-17,2662318.048,860,27229100,0.810876,854329,29450,1.53114115
19-09-17,2829014.255,1094,32061300,0.81124,1909710,30000,1.9807891
20-09-17,2943253.518,963,32633900,0.955091,1236390,27050,1.97970241
21-09-17,8598348.946,2734,37615900,1.3,20381400,32900,8.52520721
22-09-17,3014662.113,1325,51621300,1.09,4843270,26800,4.3112725
23-09-17,2517471.63,923,43107600,1.07,1188070,29550,1.93837957
24-09-17,2809217.539,835,42878400,0.992858,686642,27700,1.12453671
25-09-17,1374922.669,957,39024300,0.953256,1590200,26800,2.04517554
26-09-17,1538190.348,935,37877700,0.975175,1555330,29700,1.61937451
27-09-17,472012.2777,781,39090200,1.02,1055670,27450,1.93151262
28-09-17,1260157.187,800,40621800,0.93459,875645,27350,1.56709168
29-09-17,536022.0873,754,37241400,1.02,1031200,31200,1.54881292
30-09-17,1303984.564,651,40417700,1.03,743053,29450,1.2547345
01-10-17,240970.0938,756,41075000,1.06,457073,29600,1.67450981
02-10-17,336597.3473,718,42035600,0.990215,719340,28500,1.40501995
03-10-17,846374.9208,787,39621700,1.05,624318,31200,1.61254403
04-10-17,730475.8848,1144,41978700,1.15,2310410,29700,3.15281196
05-10-17,676784.3011,972,46122100,1.23,1401590,29900,1.88354581
06-10-17,1948879.521,1604,49462600,1.45,3158360,30300,3.91383908
07-10-17,667723.1495,983,58192300,1.32,1942220,24750,1.7022797
08-10-17,738582.7793,1110,52345800,1.14,1667970,29800,1.75215807
09-10-17,2032339.475,1227,45990500,1.13,2279770,27150,1.97316038
10-10-17,942593.869,1124,44410000,1.15,2098980,29800,2.04757683
11-10-17,517467.2329,912,46530100,1.28,1790820,29600,1.60655801
12-10-17,1078410.634,999,51661700,1.21,2591240,28100,2.1014342
13-10-17,734075.2831,1076,48500800,1.22,1809290,26100,2.32412301
14-10-17,668613.2848,1027,49319900,1.34,1673440,31050,1.92756866
15-10-17,785386.9695,1241,53889900,1.4,1851910,29650,2.04664276
16-10-17,2430097.608,2086,57076300,1.75,5512990,30400,5.16884126
17-10-17,2403956.901,1813,70216000,1.66,2329770,28350,4.6169631
18-10-17,3701804.36,2017,66973500,1.77,2669740,29500,5.63495848
19-10-17,6251193.124,3308,71457600,2.11,9962830,29850,11.46478265
20-10-17,6440415.793,2303,85986100,2.03,4821000,28400,6.37413629
21-10-17,9524589.202,3953,81102400,2.79,18818000,31600,13.45898307
22-10-17,23538056.08,7745,111648000,3.34,74432200,31600,20.63036052
23-10-17,9613447.669,4795,136733000,3.02,28920900,28200,29.65917661
24-10-17,10969494.8,3810,122015000,3.28,23703700,28500,29.42185968
25-10-17,4502009.461,2554,133312000,3.07,11107400,26650,18.12850481
26-10-17,7343902.977,2797,124801000,3.68,13143100,31300,15.45349097
27-10-17,11403068.27,3625,149820000,4.07,21945600,30400,18.05752904
28-10-17,22745787.08,5340,166794000,5.18,51550700,30850,13.04529098
29-10-17,12059348.72,4668,207948000,4.34,35122600,25800,10.04844155
30-10-17,10272770.42,4194,179521000,5.45,26571300,31750,10.71573827
31-10-17,27090616.66,4509,221629000,5.21,26259900,28500,9.26163056
01-11-17,14842054.59,4713,211533000,4.12,35813400,27900,10.11995477
02-11-17,9764739.916,5081,166161000,3.4,37012900,28450,10.37378341
03-11-17,13549463.61,4716,138093000,3.74,38509400,27850,8.56564051
04-11-17,8873687.438,3372,163640000,4.07,32196500,28850,6.28535904
05-11-17,5775683.852,2706,160625000,3.68,13293900,28800,5.74827989
06-11-17,4048567.982,2465,149680000,3.66,11673900,28600,5.7513965
07-11-17,3634038.217,2558,149776000,3.61,8565110,27750,6.41093969
08-11-17,8904685.668,3788,146433000,4.65,36091000,30650,7.94689645
09-11-17,8991632.012,4087,189780000,4.84,25576900,28450,8.43072808
10-11-17,6477582.55,3101,196471000,4.19,18133700,28800,8.14181305
11-11-17,4108288.717,2228,169105000,4.32,12435700,28550,6.77460726
12-11-17,3754734.147,3001,177986000,3.75,12602700,26900,7.16487578
13-11-17,5012359.797,2569,155884000,4.45,21777600,29200,7.71340926
14-11-17,3586100.011,2020,183799000,4.31,6620560,29150,7.76579452
15-11-17,3327459.434,2033,179531000,4.42,10365300,26950,5.76108303
16-11-17,3904353.932,2014,181508000,4.16,9180750,28750,5.24053308
17-11-17,2605784.001,1976,174207000,4.15,6275620,28700,6.03185343
18-11-17,2530985.325,1911,172186000,4.32,8982810,28950,5.37404732
19-11-17,2750025.574,1755,177817000,4.22,6758010,28050,5.6101648
20-11-17,4469895.763,1959,175003000,4.04,6888960,28150,6.36160572
21-11-17,5179750.486,2138,166302000,3.95,6541270,28550,6.55144808
22-11-17,3000078.624,1969,164664000,4.1,7211950,28600,6.18795671
23-11-17,2378573.77,1947,170447000,4.09,5146550,28700,6.38243725
24-11-17,2002378.157,1545,168529000,3.98,5140870,25700,5.32804554
25-11-17,3539972.076,2220,165712000,4.69,13242900,30700,6.38943038
26-11-17,7976378.834,3434,204915000,5.47,49734500,31450,8.69449191
27-11-17,3421000.682,2317,226294000,5.37,10687800,26000,6.32300434
28-11-17,4720259.627,2241,225045000,5.09,8342690,27800,6.01504785
29-11-17,4017406.56,2457,214111000,4.93,11544500,31000,5.73357141
30-11-17,4929767.634,2076,208385000,5.34,9926690,28700,7.78271879
01-12-17,6775352.303,2434,223613000,6.43,21568900,31100,7.96711288
02-12-17,8909098.205,3181,270005000,7.77,28497100,31300,9.69496336
03-12-17,22731853.03,4172,325939000,7.7,42038700,28100,14.2679469
04-12-17,6356077.47,2646,319982000,8.35,19468900,31350,8.38184954
05-12-17,22791039.8,3914,349963000,9.47,43487500,28050,11.41909414
06-12-17,23808490.43,4190,395766000,8.16,46987900,21950,10.31558826
07-12-17,9951804.014,6570,342082000,7.23,45938000,35700,20.11302716
08-12-17,11106770.3,8802,296937000,8.06,38632900,27950,22.9061157
09-12-17,11610485.23,10690,339650000,8.43,23703400,32800,25.91363556
10-12-17,7779648.078,11005,352090000,7.77,18116600,26550,22.99550037
11-12-17,10234593.2,11210,324202000,8.44,29459200,28975,27.16386023
12-12-17,14892040.49,9296,358931000,8.57,25507500,11325,28.66840153
13-12-17,7983921.067,5575,360036000,8.1,17463400,14900,26.72525334
14-12-17,15415895.25,6852,341593000,8.15,19698600,13675,21.72184553
15-12-17,7959478.333,5663,341217000,7.7,15342300,14150,17.89843386
16-12-17,11298663.76,5685,325056000,7.95,18041600,15050,21.33199045
17-12-17,10466826.64,6396,358200000,8.36,22641500,14300,22.19658493
18-12-17,10767290.01,6441,353018000,9.52,36765800,14250,23.1783656
19-12-17,9985001.658,6843,397475000,8.99,27619400,14775,21.49437094
20-12-17,9827589.426,6533,378611000,8.56,22325800,13175,20.52787252
21-12-17,15217940.69,6135,360762000,9.22,34982200,15625,24.00983438
22-12-17,7666277.879,5016,394426000,6.71,22794200,14350,17.00316611
23-12-17,8318551.11,4824,289064000,7.95,20014500,14275,15.5619275
24-12-17,5147682.42,4113,339749000,7.64,14587000,13975,13.88272551
25-12-17,6833158.543,4043,322120000,7.53,16261900,14300,12.69158166
26-12-17,5735069.439,3954,317959000,7.61,16282700,14350,13.17601418
27-12-17,5114842.661,4179,320574000,7.39,14496800,14475,14.24350707
28-12-17,3978844.227,3843,313611000,6.99,10034500,14075,13.55927121
29-12-17,5074385.004,4207,297447000,7.17,14598000,13475,14.22351084
30-12-17,4179228.769,4008,303243000,6.38,9411130,14600,14.20449028
31-12-17,4137322.779,3257,264825000,6.68,7702740,14375,12.55154419
01-01-18,12029041.72,3584,284651000,6.82,10816800,13725,13.95275142
